B_T,M_muB_per_Yb,n_pixels,source
5.481555733761026,1.0493055555555555,4,visible_curve
5.5012028869286285,1.0507407407407408,3,visible_curve
5.5208500400962315,1.0520833333333335,4,visible_curve
5.540497193263833,1.0531481481481482,3,visible_curve
5.560144346431436,1.0538888888888889,4,visible_curve
5.579791499599037,1.055,3,visible_curve
5.59943865276664,1.0568055555555556,4,visible_curve
5.619085805934243,1.0575925925925926,3,visible_curve
5.638732959101844,1.0595833333333333,4,visible_curve
5.661186848436247,1.0605555555555555,4,visible_curve
5.680834001603849,1.0614814814814817,3,visible_curve
5.700481154771452,1.0629166666666667,4,visible_curve
5.720128307939054,1.0637037037037036,3,visible_curve
5.739775461106656,1.0651388888888889,4,visible_curve
5.759422614274258,1.0662962962962963,3,visible_curve
5.779069767441861,1.0670833333333334,4,visible_curve
5.801523656776263,1.0686111111111112,4,visible_curve
5.821170809943865,1.0694444444444444,3,visible_curve
5.840817963111467,1.0708333333333333,4,visible_curve
5.8604651162790695,1.0712962962962964,3,visible_curve
5.880112269446672,1.0727777777777778,4,visible_curve
5.899759422614274,1.073888888888889,3,visible_curve
5.919406575781877,1.0752777777777778,4,visible_curve
5.939053728949479,1.0757407407407407,3,visible_curve
5.958700882117081,1.0766666666666667,4,visible_curve
5.981154771451484,1.0781944444444445,4,visible_curve
6.000801924619086,1.0788888888888888,3,visible_curve
6.020449077786688,1.0797222222222222,4,visible_curve
6.0400962309542905,1.0805555555555555,3,visible_curve
6.059743384121893,1.0816666666666668,4,visible_curve
6.079390537289495,1.0827777777777778,3,visible_curve
6.099037690457097,1.083888888888889,4,visible_curve
6.1214915797915,1.0845833333333335,4,visible_curve
6.141138732959102,1.0853703703703703,3,visible_curve
6.160785886126704,1.0865277777777778,4,visible_curve
6.180433039294307,1.087037037037037,3,visible_curve
6.2000801924619084,1.0879166666666666,4,visible_curve
6.219727345629511,1.0887037037037037,3,visible_curve
6.239374498797114,1.0893055555555555,4,visible_curve
6.259021651964716,1.0903703703703702,3,visible_curve
6.278668805132318,1.09125,4,visible_curve
6.30112269446672,1.0925,4,visible_curve
6.320769847634323,1.0935185185185186,3,visible_curve
6.340417000801924,1.0944444444444446,4,visible_curve
6.360064153969527,1.0951851851851853,3,visible_curve
6.379711307137129,1.0955555555555556,4,visible_curve
6.3993584603047315,1.0959259259259257,3,visible_curve
6.419005613472334,1.0969444444444445,4,visible_curve
6.441459502806737,1.0984722222222223,4,visible_curve
6.461106655974338,1.099074074074074,3,visible_curve
6.480753809141941,1.0997222222222223,4,visible_curve
6.500400962309544,1.1001851851851852,3,visible_curve
6.520048115477145,1.1011111111111112,4,visible_curve
6.539695268644748,1.1022222222222222,3,visible_curve
6.5593424218123495,1.1027777777777779,4,visible_curve
6.5789895749799525,1.1033333333333333,3,visible_curve
6.598636728147555,1.103611111111111,4,visible_curve
6.621090617481957,1.1047222222222222,4,visible_curve
6.640737770649559,1.1055555555555556,3,visible_curve
6.660384923817161,1.106111111111111,4,visible_curve
6.680032076984763,1.1070370370370373,3,visible_curve
6.699679230152366,1.1077777777777778,4,visible_curve
6.7193263833199675,1.1077777777777778,3,visible_curve
6.7389735364875705,1.1087500000000001,4,visible_curve
6.761427425821973,1.11,4,visible_curve
6.781074578989575,1.1105555555555555,3,visible_curve
6.800721732157177,1.1111111111111112,4,visible_curve
6.82036888532478,1.1118518518518519,3,visible_curve
6.840016038492382,1.1125,4,visible_curve
6.859663191659984,1.1133333333333333,3,visible_curve
6.879310344827586,1.113611111111111,4,visible_curve
6.898957497995188,1.1144444444444443,3,visible_curve
6.9186046511627906,1.114861111111111,4,visible_curve
6.941058540497194,1.1155555555555556,4,visible_curve
6.960705693664796,1.1162962962962963,3,visible_curve
6.974739374498798,1.1169444444444445,2,visible_curve
