# Intensity Error [H,-0.5H,0] DeltaE [0,K,0] [0,0,L]
#  shape: 134x58x1x1
2.532950e-04 8.955361e-05 -2.880000e-01 1.575000e+00 5.000000e-01 0.000000e+00
4.973921e-04 1.243497e-04 -2.880000e-01 1.625000e+00 5.000000e-01 0.000000e+00
2.449354e-04 8.659832e-05 -2.880000e-01 1.675000e+00 5.000000e-01 0.000000e+00
6.630540e-04 1.413647e-04 -2.880000e-01 1.725000e+00 5.000000e-01 0.000000e+00
4.776969e-04 1.194249e-04 -2.880000e-01 1.775000e+00 5.000000e-01 0.000000e+00
2.943731e-04 9.309024e-05 -2.880000e-01 1.825000e+00 5.000000e-01 0.000000e+00
5.214601e-04 1.229105e-04 -2.880000e-01 1.875000e+00 5.000000e-01 0.000000e+00
5.138881e-04 1.211267e-04 -2.880000e-01 1.925000e+00 5.000000e-01 0.000000e+00
5.608749e-04 1.254171e-04 -2.880000e-01 1.975000e+00 5.000000e-01 0.000000e+00
3.311991e-04 9.561002e-05 -2.880000e-01 2.025000e+00 5.000000e-01 0.000000e+00
4.864235e-04 1.146524e-04 -2.880000e-01 2.075000e+00 5.000000e-01 0.000000e+00
4.234482e-04 1.058636e-04 -2.880000e-01 2.125000e+00 5.000000e-01 0.000000e+00
4.697621e-04 1.107257e-04 -2.880000e-01 2.175000e+00 5.000000e-01 0.000000e+00
3.561096e-04 9.517575e-05 -2.880000e-01 2.225000e+00 5.000000e-01 0.000000e+00
4.015303e-04 1.003844e-04 -2.880000e-01 2.275000e+00 5.000000e-01 0.000000e+00
3.878182e-04 9.695630e-05 -2.880000e-01 2.325000e+00 5.000000e-01 0.000000e+00
